,min,max
count,218.0,218.0
mean,0.0019507645439770763,0.9578596335758859
std,0.008516225456884463,0.44395476041140747
min,-0.0912000015377998,0.411199986934662
25%,-0.0003000000142492,0.5316500216722491
50%,0.00355000002309675,0.794699996709824
75%,0.0063749998807907,1.5140500366687775
max,0.0107000004500151,1.61380004882813
