,count,mean,std,min,1%,5%,50%,95%,99%,max
Band_1,215604.0,0.0956006832572293,0.16429114879019668,-0.0120000001043081,0.0121999997645617,0.0149999996647239,0.0377999991178513,0.448000013828278,0.893800020217896,1.5809999704361
Band_2,215604.0,0.09433530828949409,0.1638330717030759,-0.0126000000163913,0.010499999858439,0.0131000000983477,0.0368000008165836,0.44488500356673977,0.8895969802141195,1.57410001754761
Band_3,215604.0,0.09562069864052691,0.16506695870548777,-0.0119000002741814,0.009800000116229,0.0124000003561378,0.0377000011503697,0.447400003671646,0.8964969909191132,1.5871000289917
Band_4,215604.0,0.09908149064979922,0.16680728653984916,-0.0087999999523162,0.0120000001043081,0.0148000000044703,0.0406000018119812,0.459199994802475,0.903199970722198,1.59590005874634
Band_5,215604.0,0.10049192506542041,0.16741444820173074,-0.0093000000342726,0.0124000003561378,0.0152000002563,0.0416000001132488,0.46178500652312976,0.906000018119812,1.603600025177
Band_6,215604.0,0.10125212338334919,0.16721607526371784,-0.0089999996125698,0.0129000004380941,0.015599999576807,0.0421999990940094,0.46258499473333115,0.904900014400482,1.605299949646
Band_7,215604.0,0.10276448169085411,0.16793856843881114,-0.0076999999582767,0.0136000001803041,0.0163000002503395,0.0434000007808208,0.46538500785827375,0.908900022506714,1.60950005054474
Band_8,215604.0,0.10447641606868253,0.16814099531585258,-0.0074999998323619,0.0141000002622604,0.0168999992311001,0.0452999994158745,0.467400014400482,0.91049998998642,1.61380004882813
Band_9,215604.0,0.10532949580274367,0.16800490170387936,-0.0065999999642372,0.0144999995827675,0.0173000004142523,0.0461999997496605,0.468199998140335,0.909200012683868,1.6088000535965
Band_10,215604.0,0.10727165779837743,0.16894816733613024,-0.0052999998442828,0.0152000002563,0.0179999992251396,0.0478999987244606,0.471799999475479,0.914600014686584,1.6085000038147
Band_11,215604.0,0.10827022831624047,0.16924336555974126,-0.0027999999001622,0.0153999999165535,0.0182000007480383,0.0489999987185001,0.473684988915918,0.915600001811981,1.6055999994278
Band_12,215604.0,0.10854624686501128,0.16909704087398217,-0.0041000000201165,0.0153999999165535,0.0182000007480383,0.0491999983787537,0.473600000143051,0.9143969827890395,1.60109996795654
Band_13,215604.0,0.10905521330063085,0.16908478859099066,-0.0040000001899898,0.0153000000864267,0.0181000009179115,0.0498000010848045,0.474400013685226,0.9139939755201345,1.5974999666214
Band_14,215604.0,0.11046386619919238,0.16992935294160136,-0.0031999999191612,0.0153000000864267,0.0182000007480383,0.05104999989271165,0.477984987199304,0.918099999427795,1.59360003471375
Band_15,215604.0,0.11192023620561228,0.17141739944248127,-0.0003000000142492,0.0147000001743436,0.0175999999046326,0.0524000003933907,0.483900010585785,0.9238910084962847,1.59790003299713
Band_16,215604.0,0.11188869043188374,0.1709605289952443,-0.0028999999631196,0.0148999998345971,0.0176999997347593,0.0520999990403652,0.481799989938736,0.920799970626831,1.58700001239777
Band_17,215604.0,0.11239841798056222,0.17080308776430247,-0.0019000000320375,0.0148999998345971,0.0176999997347593,0.0527999997138977,0.482400000095367,0.919285019040108,1.58430004119873
Band_18,215604.0,0.11430694659717532,0.17169166018495025,-0.0007999999797903,0.0153000000864267,0.0182000007480383,0.0546999983489513,0.48759999871254,0.9230969941616062,1.58560001850128
Band_19,215604.0,0.11496235881896487,0.17126674790333551,-0.0010999999940395,0.0159000009298325,0.0188999995589256,0.0553000010550022,0.48748500943183676,0.9212969934940342,1.57879996299744
Band_20,215604.0,0.11720070968878746,0.17140523306666058,-0.0006999999750405,0.017400000244379,0.0207000002264977,0.0575999990105629,0.490399986505508,0.92330002784729,1.58120000362396
Band_21,215604.0,0.1209974379210203,0.17201941455537667,0.00089999998454,0.0194000005722046,0.023199999704957,0.0617000013589859,0.497200012207031,0.929199993610382,1.59099996089935
Band_22,215604.0,0.12374547043840282,0.17158826579731346,0.0027999999001622,0.0217000003904104,0.0260000005364418,0.0645999982953072,0.498699992895126,0.931100010871887,1.59549999237061
Band_23,215604.0,0.12630498092037437,0.16982102914807448,0.001700000022538,0.0243999995291233,0.0292000006884336,0.0681999996304512,0.497084997594354,0.92629998922348,1.58640003204346
Band_24,215604.0,0.12980626525338648,0.1692784837339584,0.0020999999251216,0.0267999991774559,0.0320000015199184,0.0725999996066093,0.5001849800348255,0.9271970188617711,1.57910001277924
Band_25,215604.0,0.13292933437896226,0.16934620984022736,0.0043999999761581,0.0285000000149012,0.0342000015079975,0.0763000026345253,0.5040850222110728,0.9301969820261005,1.58539998531342
Band_26,215604.0,0.13588935461688412,0.1696717794140895,0.0035999999381601,0.029899999499321,0.0359999984502792,0.0795999988913536,0.508800029754639,0.933300018310547,1.58440005779266
Band_27,215604.0,0.13738474195916514,0.1692659163361673,0.0035000001080334,0.030799999833107,0.0370000004768372,0.0815000012516975,0.509999990463257,0.932399988174438,1.58239996433258
Band_28,215604.0,0.1389439644629932,0.1690403692063484,0.0043000001460313,0.0313999988138676,0.0379000008106232,0.0833000019192696,0.511699974536896,0.930400013923645,1.58060002326965
Band_29,215604.0,0.14005493966074872,0.16903382809699627,0.0043999999761581,0.031700000166893,0.0383000001311302,0.0844999998807907,0.513899981975555,0.9305939882993696,1.57850003242493
Band_30,215604.0,0.1404979105561031,0.16959257968642158,0.0043999999761581,0.0313999988138676,0.0377999991178513,0.0847999975085259,0.515900015830994,0.931699991226196,1.57140004634857
Band_31,215604.0,0.14021522749649926,0.17047773596653842,0.0052000000141561,0.0304000005125999,0.0366000011563301,0.0839999988675118,0.518499970436096,0.9332970178127291,1.57469999790192
Band_32,215604.0,0.13917371528513606,0.17145304219491037,0.0052999998442828,0.0285999998450279,0.0346000008285046,0.0822999998927116,0.52020001411438,0.9331970012187961,1.57309997081757
Band_33,215604.0,0.13762777735255094,0.171741768124495,0.0054999999701976,0.0269000008702278,0.0324999988079071,0.0804999992251396,0.5199849873781184,0.930499970912933,1.57169997692108
Band_34,215604.0,0.1376053148945883,0.17300792967938286,0.0048000002279877,0.025900000706315,0.031199999153614,0.0798999965190888,0.523299992084503,0.9339970147609711,1.57019996643066
Band_35,215604.0,0.13661235695937274,0.172624607562491,0.0027000000700354,0.0247000008821487,0.029899999499321,0.0791999995708466,0.5225849926471687,0.928699970245361,1.5673999786377
Band_36,215604.0,0.1362394714718391,0.17271270875471031,0.003000000026077,0.024100000038743,0.0291000008583069,0.0789000019431114,0.5223850190639475,0.9280939906835556,1.56420004367828
Band_37,215604.0,0.13705669521089342,0.1733526665807839,0.0013999999500811,0.0240000002086163,0.028999999165535,0.0795999988913536,0.524800002574921,0.9303970134258271,1.56550002098084
Band_38,215604.0,0.13727502973191777,0.17368963267399895,0.0005000000237487,0.0236000008881092,0.0285000000149012,0.0798999965190888,0.526400029659271,0.930400013923645,1.56410002708435
Band_39,215604.0,0.13665501524778056,0.173761115645771,9.99999974737875e-05,0.0225000008940697,0.0273000001907349,0.0794000029563904,0.526600003242493,0.9285970127582551,1.5628000497818
Band_40,215604.0,0.1355209398375443,0.1737019989956474,-9.99999974737875e-05,0.0212999992072582,0.025900000706315,0.0784000009298325,0.525300025939941,0.9255969917774202,1.55719995498657
Band_41,215604.0,0.13564417083015534,0.1742828858201276,0.0,0.0208000000566244,0.0252999998629093,0.0782999992370606,0.526799976825714,0.9269969874620434,1.55920004844666
Band_42,215604.0,0.13507209378287705,0.17354064696148744,0.0001999999949475,0.0201999992132187,0.0245999991893768,0.0782999992370606,0.5249849826097465,0.9216940015554436,1.55200004577637
Band_43,215604.0,0.1349406504841282,0.17305633546618723,-9.99999974737875e-05,0.0201999992132187,0.0247000008821487,0.0782999992370606,0.523400008678436,0.919000029563904,1.54499995708466
Band_44,215604.0,0.13488346278084778,0.17365529712746852,9.99999974737875e-05,0.0195000004023314,0.0239000003784895,0.0780000016093254,0.5250849902629827,0.9198969995975491,1.54820001125336
Band_45,215604.0,0.1335444597987985,0.17390708638472122,9.99999974737875e-05,0.0178999993950129,0.0221999995410442,0.0766000002622604,0.524500012397766,0.917599976062775,1.54069995880127
Band_46,215604.0,0.13169416109686025,0.17339376887332664,-9.99999974737875e-05,0.0164000000804663,0.0205000005662441,0.0746000036597252,0.521899998188019,0.911199986934662,1.53269994258881
Band_47,215604.0,0.13094499736335183,0.17351348735954572,-0.0003000000142492,0.0154999997466803,0.0193000007420778,0.0737999975681305,0.521799981594086,0.909300029277802,1.52980005741119
Band_48,215604.0,0.13023137745895766,0.1740711812874217,9.99999974737875e-05,0.0143999997526407,0.0181000009179115,0.0724999979138374,0.522199988365173,0.910399973392487,1.53020000457764
Band_49,215604.0,0.1294009457490364,0.17378568260979138,9.99999974737875e-05,0.0137999998405576,0.0173000004142523,0.0716999992728233,0.520099997520447,0.9083969986438751,1.52900004386902
Band_50,215604.0,0.12977786454844714,0.17344694704088398,0.0,0.0141000002622604,0.0175999999046326,0.0724999979138374,0.51910001039505,0.9078969770669935,1.52709996700287
Band_51,215604.0,0.13288899931327156,0.1730190920720094,9.99999974737875e-05,0.0159000009298325,0.0197999998927116,0.0772000029683113,0.5218849956989268,0.908599972724915,1.52569997310638
Band_52,215604.0,0.14021785638986453,0.1685911627529001,-0.0003000000142492,0.0216000005602837,0.0269000008702278,0.088699996471405,0.519599974155426,0.898500025272369,1.52409994602203
Band_53,215604.0,0.15522022367353372,0.16259518036382228,-0.0007999999797903,0.0348999984562397,0.0428999997675419,0.10809999704361,0.51910001039505,0.895699977874756,1.52260005474091
Band_54,215604.0,0.17309333967202328,0.15554438305778573,-0.0013999999500811,0.0505999997258186,0.0614000000059605,0.131699994206429,0.517599999904633,0.8919970190525062,1.52199995517731
Band_55,215604.0,0.19227526205099835,0.14882194978081087,-0.0019000000320375,0.0654999986290932,0.0797000005841255,0.157199993729591,0.5170849829912165,0.888000011444092,1.51960003376007
