Model,Features,F1_Glacier,Precision_Glacier,Recall_Glacier,Accuracy
k-NN,Raw (Corrected),0.9917498914459401,0.9934754240974336,0.9900303424360641,0.9991187588413998
Logistic Regression,Raw (Corrected),0.9899119982828933,0.9804421768707483,0.9995665366276549,0.9989100438301524
Random Forest,Raw (Corrected),0.9897981332754504,0.991304347826087,0.988296488946684,0.9989100438301524
GBDT,Raw (Corrected),0.9880512709102759,0.990418118466899,0.9856957087126138,0.9987245193757102
SVM,Raw (Corrected),0.9791932059447983,0.9596337910944652,0.9995665366276549,0.9977273254330836
LDA,Raw (Corrected),0.9363377816670313,0.9452296819787986,0.9276116168183789,0.9932515479696667
QDA,Raw (Corrected),0.8095490716180371,0.6836917562724014,0.9921976592977894,0.9750237703207254
