,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7588,97,0,0,0,0,0,0
True_Class_1,80,9942,107,0,1,1,0,0
True_Class_2,0,83,7607,79,0,11,0,0
True_Class_3,0,2,106,4641,87,63,0,0
True_Class_4,0,0,0,75,5114,73,1,0
True_Class_5,1,8,22,28,121,2802,49,0
True_Class_6,1,0,0,0,0,50,1954,20
True_Class_7,0,0,0,0,0,0,17,2290
