,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7594,91,0,0,0,0,0,0
True_Class_1,75,10005,51,0,0,0,0,0
True_Class_2,0,59,7680,38,0,3,0,0
True_Class_3,0,0,54,4782,52,11,0,0
True_Class_4,0,0,0,56,5164,43,0,0
True_Class_5,0,0,0,8,37,2950,36,0
True_Class_6,0,0,0,0,0,24,1983,18
True_Class_7,0,0,0,0,0,0,20,2287
