,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7637,47,0,0,1,0,0,0
True_Class_1,45,10050,35,0,1,0,0,0
True_Class_2,0,40,7711,26,0,3,0,0
True_Class_3,0,1,65,4771,54,8,0,0
True_Class_4,0,0,0,25,5225,13,0,0
True_Class_5,0,0,2,6,22,2990,11,0
True_Class_6,0,0,0,0,0,10,2007,8
True_Class_7,0,0,0,0,0,0,12,2295
