,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7582,103,0,0,0,0,0,0
True_Class_1,84,9969,75,1,1,1,0,0
True_Class_2,0,68,7663,43,0,6,0,0
True_Class_3,0,1,95,4674,82,47,0,0
True_Class_4,0,0,0,57,5150,56,0,0
True_Class_5,0,0,5,28,88,2859,51,0
True_Class_6,0,0,0,0,0,36,1967,22
True_Class_7,0,0,0,0,0,0,27,2280
