,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7616,68,0,0,1,0,0,0
True_Class_1,65,10031,34,0,1,0,0,0
True_Class_2,0,42,7709,26,0,3,0,0
True_Class_3,0,1,66,4767,56,9,0,0
True_Class_4,0,0,0,25,5226,12,0,0
True_Class_5,0,0,2,6,24,2988,11,0
True_Class_6,0,0,0,0,0,10,2006,9
True_Class_7,0,0,0,0,0,0,12,2295
