,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7445,240,0,0,0,0,0,0
True_Class_1,186,9849,94,0,1,1,0,0
True_Class_2,0,108,7591,76,0,5,0,0
True_Class_3,0,0,115,4653,110,21,0,0
True_Class_4,0,0,0,84,5124,55,0,0
True_Class_5,0,0,7,20,79,2880,45,0
True_Class_6,0,0,0,0,0,37,1972,16
True_Class_7,0,0,0,0,0,0,23,2284
