,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7463,222,0,0,0,0,0,0
True_Class_1,178,9858,93,0,1,1,0,0
True_Class_2,0,101,7598,75,0,6,0,0
True_Class_3,0,0,117,4657,105,20,0,0
True_Class_4,0,0,0,83,5127,53,0,0
True_Class_5,0,0,8,19,78,2881,45,0
True_Class_6,0,0,0,0,0,35,1975,15
True_Class_7,0,0,0,0,0,0,22,2285
