,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,11410,126,0,0,1,0,213,0
True_Class_1,213,10304,0,0,77,0,2,118
True_Class_2,0,0,5536,5,47,0,3,240
True_Class_3,0,0,0,2030,50,62,0,0
True_Class_4,0,0,127,58,3608,0,2,4
True_Class_5,0,0,0,53,0,1213,1,0
True_Class_6,230,0,0,0,0,0,7588,0
True_Class_7,3,278,97,0,142,0,2,7307
