,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,11673,37,0,0,0,0,40,0
True_Class_1,50,10619,0,0,8,0,0,37
True_Class_2,0,0,5771,0,8,0,0,52
True_Class_3,0,0,0,2119,7,16,0,0
True_Class_4,0,0,0,29,3763,0,0,7
True_Class_5,0,0,0,4,2,1261,0,0
True_Class_6,52,0,0,0,0,0,7766,0
True_Class_7,0,95,31,0,14,0,0,7689
