,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,7632,53,0,0,0,0,0,0
True_Class_1,74,10022,35,0,0,0,0,0
True_Class_2,0,31,7722,25,0,2,0,0
True_Class_3,0,0,55,4805,31,8,0,0
True_Class_4,0,2,0,24,5224,13,0,0
True_Class_5,0,0,0,5,6,3002,18,0
True_Class_6,0,0,0,0,0,7,2007,11
True_Class_7,0,0,0,0,1,0,8,2298
