,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3,Pred_Class_4,Pred_Class_5,Pred_Class_6,Pred_Class_7
True_Class_0,11660,46,0,0,0,0,44,0
True_Class_1,27,10632,0,0,8,0,0,47
True_Class_2,0,0,5775,0,8,0,0,48
True_Class_3,0,0,0,2092,8,42,0,0
True_Class_4,0,0,7,37,3749,0,0,6
True_Class_5,0,0,0,4,0,1262,1,0
True_Class_6,44,0,0,0,0,0,7774,0
True_Class_7,0,60,44,0,16,0,0,7709
